# List of fallbacks that occur frequently in convertors. From this list a
# static trie is derived which is used in the library. ucm2cct removes these
# fallbacks (and emits a warning) from the convertor.

# All fallback sources and targets must be within the BMP.

00A7	0015
00AD	2010
00B6	0014
00B7	30FB
00D0	0110
0110	00D0
03D5	03C6
0621	FE80
0622	FE81
0624	FE85
0627	FE8D
0628	FE8F
062A	FE95
062B	FE99
062C	FE9D
062D	FEA1
062E	FEA5
062F	FEA9
0630	FEAB
0631	FEAD
0632	FEAF
0633	FEB1
0634	FEB5
0635	FEB9
0636	FEBD
0639	FEC9
063A	FECD
0641	FED1
0642	FED5
0644	FEDD
0645	FEE1
0646	FEE5
0648	FEED
066A	0025
066B	002C
066C	002E
066D	002A
2014	2015
2015	2014
2022	0007
203C	0013
203E	00AF
2190	001B
2191	0018
2192	001C
2193	0019
2194	001D
2195	0012
21A8	0017
221F	007F
223C	301C
2299	25C9
25AC	0016
25B2	001E
25BA	0010
25BC	001F
25C4	0011
25CB	0009
25D8	0008
25D9	000A
263A	0001
263B	0002
263C	000F
2640	000C
2642	000B
2660	0006
2663	0005
2665	0003
2666	0004
266A	000D
266B	000E
266C	000E
4FE0	4FA0
525D	5265
555E	5516
5699	565B
56CA	56A2
5861	586B
5C5B	5C4F
5C62	5C61
6414	63BB
6451	63B4
6522	6505
6805	67F5
688E	688D
6F51	6E8C
7006	6D9C
7130	7114
7626	75E9
79B1	7977
7C1E	7BAA
7E48	7E66
7E61	7E4D
7E6B	7E4B
8141	80FC
8346	834A
840A	83B1
8523	848B
87EC	8749
881F	874B
8EC0	8EAF
91AC	91A4
91B1	9197
9830	982C
9839	983D
985A	985B
9A52	9A28
9DD7	9D0E
9E7C	9E78
9EB4	9EB9
9EB5	9EBA
FE7C	0651
FE80	0621
FE81	0622
FE83	0623
FE85	0624
FE86	FE85
FE8B	0626
FE8C	FE8B
FE8D	0627
FE8F	0628
FE90	FE8F
FE92	FE91
FE93	0629
FE94	0629
FE95	062A
FE96	FE95
FE98	FE97
FE99	062B
FE9A	FE99
FE9C	FE9B
FE9D	062C
FE9E	FE9D
FEA0	FE9F
FEA1	062D
FEA2	FEA1
FEA4	FEA3
FEA5	062E
FEA6	FEA5
FEA8	FEA7
FEA9	062F
FEAA	FEA9
FEAB	0630
FEAC	FEAB
FEAD	0631
FEAE	FEAD
FEAF	0632
FEB0	FEAF
FEB1	0633
FEB2	FEB1
FEB4	FEB3
FEB5	0634
FEB6	FEB5
FEB8	FEB7
FEB9	0635
FEBA	FEB9
FEBC	FEBB
FEBD	0636
FEBE	FEBD
FEC0	FEBF
FEC1	0637
FEC2	0637
FEC3	0637
FEC4	FEC3
FEC5	0638
FEC6	0638
FEC7	0638
FEC8	FEC7
FEC9	0639
FECD	063A
FED1	0641
FED2	FED1
FED4	FED3
FED5	0642
FED6	FED5
FED8	FED7
FED9	0643
FEDA	0643
FEDC	FEDB
FEDD	0644
FEDE	FEDD
FEE0	FEDF
FEE1	0645
FEE2	FEE1
FEE4	FEE3
FEE5	0646
FEE6	FEE5
FEE8	FEE7
FEE9	0647
FEEA	0647
FEED	0648
FEEE	FEED
FEEF	0649
FEF1	064A
FF01	0021
FF02	0022
FF03	0023
FF04	0024
FF05	0025
FF06	0026
FF07	0027
FF08	0028
FF09	0029
FF0A	002A
FF0B	002B
FF0C	002C
FF0D	002D
FF0E	002E
FF0F	002F
FF10	0030
FF11	0031
FF12	0032
FF13	0033
FF14	0034
FF15	0035
FF16	0036
FF17	0037
FF18	0038
FF19	0039
FF1A	003A
FF1B	003B
FF1C	003C
FF1D	003D
FF1E	003E
FF1F	003F
FF20	0040
FF21	0041
FF22	0042
FF23	0043
FF24	0044
FF25	0045
FF26	0046
FF27	0047
FF28	0048
FF29	0049
FF2A	004A
FF2B	004B
FF2C	004C
FF2D	004D
FF2E	004E
FF2F	004F
FF30	0050
FF31	0051
FF32	0052
FF33	0053
FF34	0054
FF35	0055
FF36	0056
FF37	0057
FF38	0058
FF39	0059
FF3A	005A
FF3B	005B
FF3C	005C
FF3D	005D
FF3E	005E
FF3F	005F
FF40	0060
FF41	0061
FF42	0062
FF43	0063
FF44	0064
FF45	0065
FF46	0066
FF47	0067
FF48	0068
FF49	0069
FF4A	006A
FF4B	006B
FF4C	006C
FF4D	006D
FF4E	006E
FF4F	006F
FF50	0070
FF51	0071
FF52	0072
FF53	0073
FF54	0074
FF55	0075
FF56	0076
FF57	0077
FF58	0078
FF59	0079
FF5A	007A
FF5B	007B
FF5C	007C
FF5D	007D
FF5E	007E
FFE8	2502
FFE9	001B
FFEA	0018
FFEB	001C
FFEC	0019
FFED	25A0
FFEE	0009

# The replacement character is mapped to sub as a fallback, because it is
# not a reversible conversion. Of course, when fallbacks are disallowed but
# substitutions are, this mapping will still occur but through a different
# mechanism.
FFFD	001A
